,(,),*,+,",",-,;,<,=,[,],ID,EOF,if,int,NUM,output,==,return,else,void,while,{,},$,declaration,params,compound_stmt,declaration_list,expression_stmt,fun_declaration,statement,selection_stmt,iteration_stmt,var,simple_expression,local_declarations,term,addop,relop,program,additive_expression,return_stmt,statement_list,factor,var_declaration,param,expression,param_list,call,args,arg_list,output_stmt
0,,,,,,,,,,,,,,,s6,,,,,,s7,,,,,1,,,2,,3,,,,,,,,,,4,,,,,5,,,,,,,
1,,,,,,,,,,,,,r3,,r3,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,s9,,s6,,,,,,s7,,,,,8,,,,,3,,,,,,,,,,,,,,,5,,,,,,,
3,,,,,,,,,,,,,r5,,r5,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,r4,,r4,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,r2,,r2,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,s12,,,,,,s13,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,s19,,,,,,s20,,,,,,16,,,,,,,,,,,,,,,,,,,,17,,18,,,,
13,r6,,,,,,r6,,,,,r6,r6,r6,r6,r6,r6,,r6,,r6,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,s19,,,,,,s20,,,,,,22,,,,,,,,,,,,,,,,,,,,17,,18,,,,
16,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,r13,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,r10,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,s25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,s29,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
25,,r14,,,r14,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,s29,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,r8,,r8,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,r18,,,,,,r18,,,,,r18,,r18,r18,r18,r18,,r18,,,r18,r18,r18,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,
30,,r12,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,r7,,,,,,r7,,,,,r7,r7,r7,r7,r7,r7,,r7,,r7,r7,r7,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,r9,,r9,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,r20,,,,,,r20,,,,,r20,,r20,s38,r20,r20,,r20,,,r20,r20,r20,,,,,,,,,,,,,,,,,,,,36,,37,,,,,,,
35,,r15,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,s39,,,,,,s40,,,,,s54,,s55,,s56,s57,,s58,,,s59,s29,s60,,,,41,,42,,43,44,45,46,47,,48,,,,49,50,,51,,,52,,53,,,61
37,r17,,,,,,r17,,,,,r17,,r17,r17,r17,r17,,r17,,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,s39,,,,,,,,,,,s54,,,,s56,,,,,,,,,,,,,,,,,,,46,47,,48,,,,49,,,51,,,63,,53,,,
40,r27,,,,,,r27,,,,,r27,,r27,,r27,r27,,r27,r27,,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,r22,,,,,,r22,,,,,r22,,r22,,r22,r22,,r22,r22,,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,r21,,,,,,r21,,,,,r21,,r21,,r21,r21,,r21,r21,,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,r19,,,,,,r19,,,,,r19,,r19,,r19,r19,,r19,,,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,r23,,,,,,r23,,,,,r23,,r23,,r23,r23,,r23,r23,,r23,r23,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,r24,,,,,,r24,,,,,r24,,r24,,r24,r24,,r24,r24,,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,r47,r47,r47,r47,r47,r47,r47,s64,,r47,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,r33,,,r33,,r33,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,r41,s65,r41,r41,r41,r41,r41,,,r41,,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,r37,,s66,r37,s67,r37,s68,,,r37,,,,,,,s71,,,,,,,,,,,,,,,,,,,,,69,70,,,,,,,,,,,,,
50,r25,,,,,,r25,,,,,r25,,r25,,r25,r25,,r25,r25,,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,r45,r45,r45,r45,r45,r45,r45,,,r45,,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
